Dates,Cycle Yes/No,Step Count
2022-05-31,0,2460.0
2022-06-01,0,13182.0
2022-06-02,0,5426.0
2022-06-03,0,14430.0
2022-06-04,0,8027.0
2022-06-05,0,7337.0
2022-06-06,0,8345.0
2022-06-07,0,10655.0
2022-06-08,0,8446.0
2022-06-09,0,7285.0
2022-06-10,0,6631.0
2022-06-11,0,3182.0
2022-06-12,0,10.0
2022-06-13,0,4575.0
2022-06-14,0,5131.0
2022-06-15,1,4754.0
2022-06-16,1,3401.0
2022-06-17,1,6703.0
2022-06-18,1,2090.0
2022-06-19,1,5231.0
2022-06-20,0,8176.0
2022-06-21,0,4401.0
2022-06-22,0,6172.0
2022-06-23,0,9697.0
2022-06-24,0,4884.0
2022-06-25,0,6146.0
2022-06-26,0,2628.0
2022-06-27,0,5448.0
2022-06-28,0,11761.0
2022-06-29,0,7476.0
2022-06-30,0,10588.0
2022-07-01,0,15660.0
2022-07-02,0,3683.0
2022-07-03,0,910.0
2022-07-04,0,2011.0
2022-07-05,0,858.0
2022-07-06,0,2465.0
2022-07-07,0,10553.0
2022-07-08,0,550.84
2022-07-09,0,603.0
2022-07-10,0,7574.0
2022-07-11,0,1474.0
2022-07-12,0,4829.0
2022-07-13,0,2327.0
2022-07-14,0,2948.0
2022-07-15,0,14090.0
2022-07-16,0,11947.0
2022-07-17,1,11534.0
2022-07-18,1,18134.0
2022-07-19,1,11349.0
2022-07-20,1,5113.0
2022-07-21,1,2974.0
2022-07-22,0,7160.0
2022-07-23,0,3566.0
2022-07-24,0,11238.0
2022-07-25,0,2029.0
2022-07-26,0,966.32
2022-07-27,0,9164.0
2022-07-28,0,3644.0
2022-07-29,0,5371.0
2022-07-30,0,5691.0
2022-07-31,0,3996.0
2022-08-01,0,3092.0
2022-08-02,0,5898.0
2022-08-03,0,1960.0
2022-08-04,0,7048.0
2022-08-05,0,3154.0
2022-08-06,0,3074.0
2022-08-07,0,4534.0
2022-08-08,0,10343.0
2022-08-09,0,9219.0
2022-08-10,1,12501.0
2022-08-11,1,9557.0
2022-08-12,1,3731.0
2022-08-13,1,601.0
2022-08-14,1,3418.0
2022-08-15,0,808.0
2022-08-16,0,6782.0
2022-08-17,0,861.84
2022-08-18,0,3567.0
2022-08-19,0,3531.0
2022-08-20,0,1584.0
2022-08-21,0,1221.0
2022-08-22,0,5082.0
2022-08-23,0,8824.0
2022-08-24,0,4397.0
2022-08-25,0,4057.0
2022-08-26,0,4939.0
2022-08-27,0,1744.0
2022-08-28,0,5713.0
2022-08-29,0,4342.0
2022-08-30,0,2786.0
2022-08-31,0,10100.0
2022-09-01,0,6147.0
2022-09-02,0,9366.0
2022-09-03,0,1737.0
2022-09-04,0,6145.0
2022-09-05,0,4856.0
2022-09-06,0,7010.0
2022-09-07,0,1157.0
2022-09-08,0,8863.0
2022-09-09,0,6104.0
2022-09-10,0,11679.0
2022-09-11,1,1185.0
2022-09-12,1,8942.0
2022-09-13,1,13046.0
2022-09-14,1,5199.0
2022-09-15,0,9367.0
2022-09-16,0,4675.0
2022-09-17,0,2029.0
2022-09-18,0,3222.0
2022-09-19,0,2136.0
2022-09-20,0,1385.0
2022-09-21,0,1676.0
2022-09-22,0,5358.0
2022-09-23,0,2707.0
2022-09-24,0,1398.0
2022-09-25,0,4579.0
2022-09-26,0,8614.0
2022-09-27,0,6006.0
2022-09-28,0,1662.0
2022-09-29,0,1797.0
2022-09-30,0,2065.0
2022-10-01,0,12519.0
2022-10-02,0,4527.0
2022-10-03,0,8746.0
2022-10-04,0,7831.0
2022-10-05,1,9066.0
2022-10-06,1,5765.0
2022-10-07,1,6905.0
2022-10-08,1,12682.0
2022-10-09,1,9151.0
